Time	TH	ErrTH	H	Prob[Metastasis--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--Apoptosis--CellCycleArrest]	Prob[Migration--EMT--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Migration--EMT--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis--EMT--Invasion--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--Invasion--CellCycleArrest]	Prob[Metastasis--Invasion]	ErrProb[Metastasis--Invasion]	Prob[Migration--EMT--Apoptosis]	ErrProb[Migration--EMT--Apoptosis]	Prob[Migration--Apoptosis--CellCycleArrest]	ErrProb[Migration--Apoptosis--CellCycleArrest]	Prob[Metastasis--EMT]	ErrProb[Metastasis--EMT]	Prob[Migration--Metastasis]	ErrProb[Migration--Metastasis]	Prob[EMT--CellCycleArrest]	ErrProb[EMT--CellCycleArrest]	Prob[Apoptosis--CellCycleArrest]	ErrProb[Apoptosis--CellCycleArrest]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[Metastasis--EMT--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--EMT--Apoptosis--CellCycleArrest]	Prob[EMT]	ErrProb[EMT]	Prob[Migration--Metastasis--EMT--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Apoptosis]	Prob[Metastasis--EMT--Invasion]	ErrProb[Metastasis--EMT--Invasion]	Prob[<nil>]	ErrProb[<nil>]	Prob[Metastasis--Apoptosis]	ErrProb[Metastasis--Apoptosis]	Prob[EMT--Invasion]	ErrProb[EMT--Invasion]	Prob[Metastasis--EMT--Apoptosis]	ErrProb[Metastasis--EMT--Apoptosis]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Apoptosis]	ErrProb[Migration--Apoptosis]	Prob[Migration--Metastasis--EMT--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--CellCycleArrest]	Prob[Migration--Metastasis--Invasion]	ErrProb[Migration--Metastasis--Invasion]	Prob[EMT--Apoptosis--CellCycleArrest]	ErrProb[EMT--Apoptosis--CellCycleArrest]	Prob[Metastasis--Invasion--Apoptosis]	ErrProb[Metastasis--Invasion--Apoptosis]	Prob[Migration--Metastasis--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--Apoptosis--CellCycleArrest]	Prob[Metastasis--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--Invasion--Apoptosis--CellCycleArrest]	Prob[Metastasis--EMT--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--EMT--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--Invasion--Apoptosis]	Prob[EMT--Invasion--Apoptosis]	ErrProb[EMT--Invasion--Apoptosis]	Prob[Invasion--Apoptosis--CellCycleArrest]	ErrProb[Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--EMT--Apoptosis--CellCycleArrest]	Prob[Migration]	ErrProb[Migration]	Prob[Migration--EMT]	ErrProb[Migration--EMT]	Prob[EMT--Invasion--CellCycleArrest]	ErrProb[EMT--Invasion--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--CellCycleArrest]	Prob[Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Metastasis--EMT--Invasion--Apoptosis]	Prob[Migration--EMT--Invasion--CellCycleArrest]	ErrProb[Migration--EMT--Invasion--CellCycleArrest]	Prob[Migration--EMT--Invasion]	ErrProb[Migration--EMT--Invasion]	Prob[Metastasis]	ErrProb[Metastasis]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[Apoptosis]	ErrProb[Apoptosis]	Prob[EMT--Invasion--Apoptosis--CellCycleArrest]	ErrProb[EMT--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--Apoptosis--CellCycleArrest]	Prob[Invasion]	ErrProb[Invasion]	Prob[Migration--EMT--Invasion--Apoptosis]	ErrProb[Migration--EMT--Invasion--Apoptosis]	Prob[Metastasis--EMT--CellCycleArrest]	ErrProb[Metastasis--EMT--CellCycleArrest]	Prob[Metastasis--CellCycleArrest]	ErrProb[Metastasis--CellCycleArrest]	Prob[Migration--Metastasis--CellCycleArrest]	ErrProb[Migration--Metastasis--CellCycleArrest]	Prob[Migration--Metastasis--Apoptosis]	ErrProb[Migration--Metastasis--Apoptosis]	Prob[Migration--CellCycleArrest]	ErrProb[Migration--CellCycleArrest]	Prob[Migration--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Migration--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Invasion--Apoptosis]	ErrProb[Migration--Invasion--Apoptosis]	Prob[Migration--Invasion]	ErrProb[Migration--Invasion]	Prob[Migration--Invasion--CellCycleArrest]	ErrProb[Migration--Invasion--CellCycleArrest]	Prob[Invasion--CellCycleArrest]	ErrProb[Invasion--CellCycleArrest]	Prob[CellCycleArrest]	ErrProb[CellCycleArrest]	Prob[Metastasis--Invasion--CellCycleArrest]	ErrProb[Metastasis--Invasion--CellCycleArrest]	Prob[Migration--Metastasis--EMT--Invasion]	ErrProb[Migration--Metastasis--EMT--Invasion]	Prob[Migration--Metastasis--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis]	Prob[Migration--EMT--CellCycleArrest]	ErrProb[Migration--EMT--CellCycleArrest]	Prob[Migration--Metastasis--EMT]	ErrProb[Migration--Metastasis--EMT]	Prob[Metastasis--EMT--Invasion--CellCycleArrest]	ErrProb[Metastasis--EMT--Invasion--CellCycleArrest]	
0.0000	1.3801	0.0030	5.9949	0.014826	0.000515	0.013440	0.000487	0.015759	0.000530	0.016891	0.000550	0.013018	0.000482	0.013655	0.000493	0.015947	0.000533	0.016260	0.000540	0.016805	0.000548	0.016936	0.000550	0.015715	0.000530	0.014535	0.000508	0.017486	0.000558	0.014403	0.000508	0.015898	0.000534	0.017969	0.000567	0.015499	0.000527	0.017505	0.000559	0.014606	0.000510	0.014574	0.000510	0.014023	0.000500	0.015640	0.000530	0.017059	0.000553	0.016244	0.000541	0.015330	0.000523	0.015535	0.000529	0.015584	0.000527	0.014521	0.000510	0.015466	0.000525	0.016135	0.000537	0.016879	0.000550	0.013100	0.000484	0.014974	0.000517	0.013575	0.000489	0.017633	0.000560	0.016384	0.000542	0.014729	0.000511	0.014459	0.000509	0.014428	0.000509	0.016178	0.000536	0.017221	0.000556	0.017109	0.000553	0.016211	0.000539	0.015774	0.000532	0.018461	0.000575	0.013735	0.000495	0.015633	0.000529	0.016512	0.000544	0.016354	0.000543	0.015083	0.000521	0.014710	0.000513	0.014329	0.000505	0.013523	0.000490	0.015332	0.000524	0.015160	0.000522	0.018611	0.000575	0.017715	0.000562	0.016840	0.000548	0.015787	0.000534	0.014317	0.000505	0.014984	0.000518	0.014710	0.000513	0.016097	0.000539	0.016187	0.000537	
0.1000	1.2372	0.0031	5.9613	0.014709	0.000513	0.009695	0.000417	0.016407	0.000546	0.018775	0.000581	0.009217	0.000409	0.010773	0.000440	0.015840	0.000532	0.017401	0.000560	0.019757	0.000596	0.018899	0.000583	0.015876	0.000536	0.012859	0.000480	0.020193	0.000603	0.012609	0.000478	0.016281	0.000538	0.023005	0.000642	0.014700	0.000514	0.020992	0.000614	0.012237	0.000466	0.013480	0.000495	0.010435	0.000433	0.015773	0.000532	0.018304	0.000576	0.016871	0.000552	0.014859	0.000516	0.014632	0.000516	0.015161	0.000520	0.012914	0.000482	0.014811	0.000517	0.016716	0.000549	0.019274	0.000590	0.009304	0.000409	0.013472	0.000492	0.011023	0.000445	0.021479	0.000621	0.017709	0.000567	0.013308	0.000488	0.012494	0.000473	0.012396	0.000469	0.017773	0.000565	0.019677	0.000598	0.019473	0.000594	0.017270	0.000560	0.015596	0.000531	0.024800	0.000668	0.009977	0.000423	0.016162	0.000537	0.018117	0.000569	0.016769	0.000550	0.013990	0.000504	0.013733	0.000498	0.011476	0.000454	0.010736	0.000440	0.014306	0.000507	0.013937	0.000502	0.023502	0.000650	0.022965	0.000644	0.019138	0.000587	0.016081	0.000541	0.012629	0.000479	0.013367	0.000492	0.011793	0.000460	0.015372	0.000527	0.016722	0.000548	
0.2000	1.1147	0.0032	5.9075	0.014439	0.000512	0.007275	0.000364	0.016867	0.000556	0.019913	0.000600	0.006585	0.000348	0.008463	0.000390	0.015601	0.000529	0.018006	0.000571	0.023178	0.000650	0.020962	0.000618	0.015975	0.000537	0.011775	0.000462	0.022618	0.000640	0.010811	0.000443	0.016529	0.000547	0.028065	0.000713	0.013154	0.000487	0.024350	0.000665	0.010735	0.000440	0.012397	0.000475	0.007875	0.000380	0.014992	0.000522	0.019438	0.000594	0.017370	0.000561	0.014165	0.000506	0.014329	0.000509	0.014634	0.000513	0.011565	0.000456	0.014006	0.000503	0.017216	0.000560	0.021162	0.000619	0.006942	0.000355	0.011987	0.000467	0.009388	0.000413	0.025086	0.000674	0.019314	0.000590	0.011648	0.000459	0.010602	0.000439	0.010283	0.000431	0.019510	0.000595	0.020940	0.000618	0.020644	0.000613	0.017892	0.000571	0.014837	0.000517	0.030003	0.000737	0.007273	0.000363	0.016691	0.000548	0.019604	0.000595	0.017468	0.000562	0.012956	0.000484	0.012631	0.000481	0.009064	0.000404	0.008826	0.000402	0.012493	0.000475	0.012613	0.000478	0.029144	0.000726	0.028148	0.000715	0.020565	0.000609	0.015649	0.000532	0.011045	0.000447	0.011318	0.000452	0.009550	0.000417	0.014745	0.000518	0.016692	0.000549	
0.3000	1.0105	0.0032	5.8414	0.014288	0.000509	0.005798	0.000326	0.017164	0.000560	0.020479	0.000608	0.005105	0.000306	0.006626	0.000349	0.015559	0.000532	0.018516	0.000582	0.026306	0.000695	0.022593	0.000644	0.015935	0.000541	0.010689	0.000440	0.024790	0.000673	0.009031	0.000408	0.016766	0.000552	0.033251	0.000777	0.012641	0.000481	0.027312	0.000705	0.009200	0.000407	0.011395	0.000457	0.006234	0.000338	0.014339	0.000512	0.019809	0.000601	0.017369	0.000564	0.013106	0.000486	0.013952	0.000505	0.014308	0.000508	0.011452	0.000455	0.012083	0.000470	0.017192	0.000562	0.023060	0.000650	0.004970	0.000301	0.010760	0.000443	0.007791	0.000377	0.028347	0.000718	0.019926	0.000601	0.010131	0.000427	0.008929	0.000403	0.008298	0.000390	0.020198	0.000607	0.021484	0.000629	0.021234	0.000625	0.017759	0.000568	0.013654	0.000500	0.034988	0.000797	0.005506	0.000319	0.016897	0.000555	0.021103	0.000619	0.018398	0.000579	0.011650	0.000459	0.011249	0.000456	0.007277	0.000363	0.006766	0.000352	0.010437	0.000436	0.011328	0.000456	0.034816	0.000794	0.033910	0.000784	0.022027	0.000630	0.015346	0.000527	0.009856	0.000424	0.009172	0.000410	0.008561	0.000397	0.013922	0.000506	0.016960	0.000555	
0.4000	0.9218	0.0032	5.7660	0.014380	0.000511	0.004506	0.000286	0.016527	0.000550	0.021252	0.000619	0.003637	0.000257	0.005636	0.000323	0.015777	0.000536	0.018841	0.000588	0.029156	0.000730	0.024227	0.000666	0.015542	0.000534	0.010206	0.000431	0.027324	0.000707	0.007792	0.000379	0.016504	0.000546	0.038575	0.000838	0.011878	0.000465	0.030471	0.000744	0.007902	0.000379	0.010065	0.000430	0.004811	0.000296	0.014335	0.000511	0.019228	0.000594	0.017594	0.000570	0.011941	0.000466	0.012590	0.000480	0.013965	0.000505	0.010122	0.000428	0.010401	0.000436	0.016642	0.000553	0.024581	0.000673	0.003797	0.000264	0.009492	0.000416	0.006224	0.000338	0.031556	0.000757	0.020305	0.000608	0.009202	0.000411	0.007628	0.000373	0.007076	0.000361	0.021110	0.000618	0.021342	0.000627	0.021387	0.000628	0.017761	0.000571	0.012489	0.000479	0.038912	0.000841	0.004157	0.000278	0.016895	0.000556	0.022448	0.000641	0.018814	0.000587	0.010370	0.000436	0.009832	0.000425	0.005782	0.000323	0.005169	0.000308	0.009115	0.000410	0.009718	0.000421	0.040258	0.000855	0.040500	0.000856	0.022962	0.000647	0.014495	0.000516	0.008877	0.000403	0.007635	0.000373	0.007360	0.000368	0.013456	0.000495	0.017466	0.000564	
0.5000	0.8434	0.0031	5.6854	0.014496	0.000515	0.003433	0.000252	0.016300	0.000548	0.021810	0.000629	0.002650	0.000217	0.004722	0.000294	0.015933	0.000540	0.018779	0.000587	0.032955	0.000775	0.025913	0.000690	0.015122	0.000527	0.009676	0.000423	0.030074	0.000742	0.006545	0.000346	0.016194	0.000546	0.043316	0.000885	0.010788	0.000443	0.032358	0.000769	0.007082	0.000359	0.009094	0.000411	0.003612	0.000257	0.014105	0.000510	0.018550	0.000582	0.017963	0.000577	0.010207	0.000429	0.011356	0.000456	0.013292	0.000491	0.009250	0.000412	0.008753	0.000402	0.015527	0.000535	0.025207	0.000681	0.003209	0.000241	0.008210	0.000388	0.005004	0.000302	0.035013	0.000799	0.020119	0.000608	0.008315	0.000392	0.006348	0.000342	0.006187	0.000336	0.021818	0.000628	0.020942	0.000620	0.021543	0.000628	0.017938	0.000576	0.011279	0.000458	0.042409	0.000877	0.003184	0.000241	0.017050	0.000557	0.023948	0.000660	0.019576	0.000601	0.009518	0.000418	0.008460	0.000396	0.004645	0.000293	0.003928	0.000270	0.007704	0.000376	0.008193	0.000389	0.044897	0.000901	0.047566	0.000926	0.023114	0.000646	0.013693	0.000501	0.008031	0.000384	0.006541	0.000347	0.006125	0.000337	0.013020	0.000488	0.017409	0.000561	
0.6000	0.7739	0.0031	5.5986	0.014391	0.000513	0.002783	0.000226	0.016388	0.000550	0.021517	0.000627	0.001708	0.000177	0.003920	0.000270	0.015768	0.000539	0.018825	0.000590	0.036524	0.000816	0.027434	0.000711	0.014863	0.000524	0.008823	0.000401	0.032710	0.000774	0.005339	0.000313	0.015836	0.000538	0.048477	0.000938	0.010013	0.000427	0.034050	0.000790	0.006406	0.000342	0.008038	0.000385	0.002714	0.000223	0.013786	0.000503	0.017692	0.000572	0.018463	0.000584	0.008926	0.000405	0.010277	0.000438	0.012592	0.000479	0.008472	0.000390	0.007217	0.000364	0.014396	0.000517	0.025444	0.000685	0.002619	0.000220	0.007053	0.000362	0.004148	0.000277	0.038401	0.000837	0.019255	0.000596	0.007421	0.000370	0.005384	0.000317	0.005105	0.000307	0.021912	0.000631	0.020102	0.000611	0.021749	0.000633	0.018439	0.000583	0.009969	0.000429	0.045223	0.000908	0.002482	0.000215	0.017679	0.000569	0.025357	0.000679	0.019753	0.000603	0.007970	0.000383	0.007472	0.000372	0.003735	0.000263	0.002901	0.000231	0.006474	0.000348	0.006982	0.000362	0.049777	0.000949	0.054949	0.000995	0.023441	0.000652	0.012830	0.000487	0.007397	0.000372	0.005566	0.000323	0.005164	0.000311	0.012457	0.000480	0.017043	0.000558	
0.7000	0.7145	0.0030	5.5123	0.013874	0.000506	0.002218	0.000201	0.015981	0.000544	0.021547	0.000630	0.001231	0.000149	0.003508	0.000256	0.015989	0.000542	0.018580	0.000587	0.040399	0.000858	0.029270	0.000734	0.014472	0.000517	0.008502	0.000396	0.034799	0.000798	0.004304	0.000282	0.015456	0.000533	0.052987	0.000980	0.008805	0.000402	0.035909	0.000812	0.005465	0.000315	0.007105	0.000363	0.002136	0.000199	0.013448	0.000501	0.016303	0.000549	0.019247	0.000597	0.008080	0.000387	0.009724	0.000426	0.011662	0.000462	0.008034	0.000385	0.005901	0.000330	0.014017	0.000511	0.025725	0.000690	0.002089	0.000197	0.005936	0.000331	0.003402	0.000250	0.041916	0.000874	0.018112	0.000579	0.006498	0.000347	0.004858	0.000299	0.004279	0.000280	0.022496	0.000641	0.018495	0.000586	0.021479	0.000630	0.018943	0.000593	0.008713	0.000403	0.047459	0.000929	0.001905	0.000187	0.017831	0.000572	0.026441	0.000695	0.019873	0.000608	0.006616	0.000352	0.006588	0.000348	0.002812	0.000227	0.002145	0.000200	0.005507	0.000321	0.005741	0.000326	0.053322	0.000982	0.062834	0.001061	0.022790	0.000646	0.011846	0.000468	0.006822	0.000355	0.004834	0.000299	0.004448	0.000285	0.011675	0.000467	0.016616	0.000552	
0.8000	0.6620	0.0030	5.4246	0.013665	0.000504	0.001703	0.000178	0.015558	0.000538	0.021030	0.000623	0.000794	0.000120	0.002888	0.000231	0.016180	0.000547	0.017964	0.000579	0.044535	0.000899	0.030322	0.000748	0.013816	0.000509	0.008174	0.000392	0.036367	0.000817	0.003686	0.000261	0.015136	0.000528	0.057275	0.001017	0.007771	0.000377	0.038468	0.000841	0.005084	0.000305	0.006342	0.000345	0.001731	0.000180	0.012729	0.000486	0.014836	0.000526	0.020067	0.000611	0.006970	0.000358	0.009327	0.000416	0.010541	0.000442	0.007275	0.000367	0.004841	0.000299	0.013492	0.000500	0.025640	0.000690	0.001712	0.000178	0.004671	0.000295	0.002979	0.000234	0.044810	0.000903	0.017042	0.000561	0.005685	0.000324	0.004342	0.000285	0.003641	0.000261	0.022253	0.000640	0.016907	0.000560	0.021248	0.000628	0.019063	0.000594	0.007358	0.000370	0.049561	0.000949	0.001476	0.000165	0.018439	0.000582	0.027620	0.000711	0.019898	0.000607	0.005880	0.000329	0.005764	0.000327	0.002104	0.000199	0.001518	0.000168	0.004463	0.000289	0.004483	0.000287	0.055748	0.001001	0.071392	0.001127	0.022458	0.000640	0.011197	0.000456	0.005960	0.000333	0.004335	0.000284	0.004089	0.000277	0.010959	0.000452	0.016739	0.000554	
0.9000	0.6164	0.0029	5.3384	0.012995	0.000491	0.001457	0.000163	0.015258	0.000535	0.019469	0.000599	0.000629	0.000108	0.002220	0.000200	0.016000	0.000543	0.017366	0.000572	0.048935	0.000944	0.032183	0.000771	0.013273	0.000499	0.007520	0.000371	0.038737	0.000843	0.003264	0.000246	0.014331	0.000517	0.060997	0.001048	0.007051	0.000359	0.040436	0.000863	0.004740	0.000295	0.005560	0.000322	0.001376	0.000160	0.012462	0.000481	0.013795	0.000509	0.020415	0.000617	0.006172	0.000337	0.008765	0.000403	0.009389	0.000417	0.006607	0.000350	0.003820	0.000267	0.013098	0.000495	0.025032	0.000682	0.001391	0.000163	0.003887	0.000268	0.002515	0.000218	0.047810	0.000934	0.015462	0.000535	0.005022	0.000306	0.003833	0.000263	0.003121	0.000239	0.022202	0.000639	0.015696	0.000541	0.021007	0.000623	0.019298	0.000600	0.006193	0.000338	0.050606	0.000960	0.001192	0.000149	0.018707	0.000587	0.028747	0.000724	0.019719	0.000603	0.004781	0.000298	0.005003	0.000304	0.001786	0.000182	0.001124	0.000146	0.003638	0.000257	0.003466	0.000251	0.058562	0.001028	0.079117	0.001184	0.022346	0.000641	0.010816	0.000451	0.005638	0.000325	0.003695	0.000262	0.003517	0.000256	0.010091	0.000434	0.016656	0.000553	
1.0000	0.5747	0.0029	5.2543	0.012166	0.000476	0.001227	0.000147	0.014766	0.000527	0.017813	0.000573	0.000442	0.000091	0.001591	0.000171	0.015322	0.000531	0.016569	0.000556	0.053694	0.000985	0.033485	0.000786	0.012506	0.000481	0.007203	0.000365	0.041458	0.000871	0.002935	0.000234	0.013909	0.000507	0.064552	0.001077	0.006781	0.000357	0.042611	0.000884	0.004119	0.000275	0.005032	0.000305	0.001276	0.000153	0.012117	0.000475	0.012371	0.000480	0.021006	0.000626	0.005345	0.000317	0.008347	0.000396	0.008191	0.000390	0.006268	0.000338	0.003197	0.000245	0.012257	0.000478	0.024415	0.000674	0.001197	0.000148	0.003334	0.000250	0.001987	0.000193	0.049914	0.000954	0.014324	0.000518	0.004331	0.000282	0.003496	0.000255	0.002788	0.000228	0.022116	0.000638	0.014440	0.000521	0.020312	0.000615	0.019681	0.000607	0.005296	0.000315	0.050930	0.000963	0.000863	0.000126	0.018855	0.000590	0.029287	0.000733	0.019212	0.000598	0.003856	0.000267	0.004457	0.000290	0.001377	0.000161	0.000914	0.000129	0.002801	0.000230	0.003010	0.000237	0.060740	0.001046	0.087571	0.001240	0.021383	0.000627	0.010480	0.000443	0.005105	0.000309	0.003094	0.000242	0.003119	0.000242	0.009903	0.000431	0.016858	0.000558	
1.1000	0.5379	0.0028	5.1731	0.011674	0.000464	0.000959	0.000132	0.014117	0.000516	0.016340	0.000552	0.000394	0.000086	0.001188	0.000147	0.014876	0.000526	0.015379	0.000537	0.058930	0.001033	0.035307	0.000808	0.011899	0.000471	0.006754	0.000352	0.044058	0.000899	0.002551	0.000219	0.013538	0.000499	0.067751	0.001103	0.005985	0.000333	0.045020	0.000908	0.003701	0.000262	0.004395	0.000287	0.001077	0.000142	0.011880	0.000472	0.010955	0.000454	0.021585	0.000635	0.004792	0.000300	0.007808	0.000383	0.007277	0.000369	0.005708	0.000325	0.002826	0.000232	0.011267	0.000459	0.023246	0.000660	0.000884	0.000128	0.002898	0.000234	0.001722	0.000180	0.052841	0.000979	0.013233	0.000498	0.003614	0.000258	0.003469	0.000254	0.002370	0.000209	0.021773	0.000635	0.013474	0.000504	0.019798	0.000607	0.019470	0.000602	0.004644	0.000296	0.050911	0.000963	0.000645	0.000109	0.019422	0.000599	0.029579	0.000737	0.018881	0.000596	0.003376	0.000250	0.004119	0.000281	0.000994	0.000137	0.000703	0.000115	0.002264	0.000205	0.002557	0.000218	0.061960	0.001057	0.094535	0.001286	0.020616	0.000618	0.010086	0.000435	0.004801	0.000299	0.002679	0.000224	0.002665	0.000225	0.009163	0.000412	0.016621	0.000552	
1.2000	0.5062	0.0028	5.0942	0.011332	0.000459	0.000930	0.000131	0.013650	0.000507	0.014770	0.000524	0.000285	0.000072	0.001034	0.000137	0.013967	0.000509	0.014069	0.000515	0.064488	0.001077	0.037391	0.000832	0.011746	0.000469	0.006311	0.000342	0.046231	0.000918	0.002256	0.000205	0.013167	0.000494	0.071112	0.001127	0.005331	0.000314	0.046677	0.000925	0.003361	0.000249	0.004005	0.000275	0.000874	0.000128	0.011737	0.000468	0.010007	0.000435	0.021913	0.000640	0.004164	0.000278	0.006972	0.000363	0.006511	0.000349	0.005020	0.000306	0.002376	0.000211	0.010462	0.000442	0.022658	0.000650	0.000548	0.000097	0.002473	0.000214	0.001541	0.000168	0.055529	0.001004	0.012005	0.000476	0.003246	0.000246	0.003402	0.000250	0.002111	0.000198	0.021285	0.000627	0.012035	0.000472	0.019430	0.000602	0.019338	0.000601	0.004055	0.000277	0.050595	0.000960	0.000556	0.000102	0.020135	0.000610	0.029799	0.000741	0.018444	0.000589	0.003009	0.000238	0.003585	0.000259	0.000820	0.000122	0.000500	0.000097	0.001754	0.000180	0.002096	0.000199	0.062862	0.001064	0.101007	0.001323	0.019603	0.000604	0.009236	0.000415	0.004378	0.000287	0.002298	0.000206	0.002402	0.000211	0.008743	0.000406	0.016375	0.000550	
1.3000	0.4752	0.0027	5.0141	0.011104	0.000456	0.000935	0.000130	0.013345	0.000503	0.013335	0.000495	0.000217	0.000061	0.000899	0.000130	0.013446	0.000500	0.012569	0.000486	0.070442	0.001124	0.038859	0.000849	0.011386	0.000461	0.005687	0.000326	0.047882	0.000936	0.001960	0.000191	0.012985	0.000492	0.075225	0.001158	0.004961	0.000304	0.047618	0.000935	0.003150	0.000243	0.003578	0.000258	0.000704	0.000114	0.011504	0.000467	0.008953	0.000412	0.022380	0.000647	0.003288	0.000245	0.006191	0.000342	0.005745	0.000326	0.004406	0.000287	0.001965	0.000194	0.009757	0.000429	0.021861	0.000640	0.000400	0.000086	0.002084	0.000198	0.001250	0.000152	0.058359	0.001027	0.010922	0.000453	0.002671	0.000224	0.003377	0.000247	0.002076	0.000195	0.020458	0.000615	0.011140	0.000458	0.019175	0.000601	0.018579	0.000590	0.003413	0.000252	0.049893	0.000955	0.000542	0.000099	0.020487	0.000616	0.030050	0.000742	0.018066	0.000582	0.002658	0.000224	0.002992	0.000237	0.000642	0.000109	0.000300	0.000073	0.001211	0.000149	0.001700	0.000178	0.063514	0.001070	0.107509	0.001362	0.018582	0.000586	0.008688	0.000405	0.004166	0.000280	0.002080	0.000199	0.002067	0.000197	0.008665	0.000404	0.015943	0.000545	
