Time	TH	ErrTH	H	Prob[Migration--Metastasis--EMT--Apoptosis--CCA]	ErrProb[Migration--Metastasis--EMT--Apoptosis--CCA]	Prob[Migration--Metastasis--Invasion--CCA]	ErrProb[Migration--Metastasis--Invasion--CCA]	Prob[Migration--EMT]	ErrProb[Migration--EMT]	Prob[<nil>]	ErrProb[<nil>]	Prob[Metastasis--Invasion--Apoptosis]	ErrProb[Metastasis--Invasion--Apoptosis]	Prob[Migration--Apoptosis]	ErrProb[Migration--Apoptosis]	Prob[Metastasis--Apoptosis]	ErrProb[Metastasis--Apoptosis]	Prob[Migration--Metastasis--EMT--CCA]	ErrProb[Migration--Metastasis--EMT--CCA]	Prob[Metastasis--EMT--Invasion]	ErrProb[Metastasis--EMT--Invasion]	Prob[Apoptosis--CCA]	ErrProb[Apoptosis--CCA]	Prob[Migration--CCA]	ErrProb[Migration--CCA]	Prob[EMT--CCA]	ErrProb[EMT--CCA]	Prob[Metastasis--Invasion--Apoptosis--CCA]	ErrProb[Metastasis--Invasion--Apoptosis--CCA]	Prob[Migration--EMT--Apoptosis]	ErrProb[Migration--EMT--Apoptosis]	Prob[Migration--Metastasis]	ErrProb[Migration--Metastasis]	Prob[Migration--Metastasis--Invasion]	ErrProb[Migration--Metastasis--Invasion]	Prob[Migration--EMT--CCA]	ErrProb[Migration--EMT--CCA]	Prob[Migration--Metastasis--Apoptosis]	ErrProb[Migration--Metastasis--Apoptosis]	Prob[Migration--Apoptosis--CCA]	ErrProb[Migration--Apoptosis--CCA]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	Prob[Metastasis--EMT--CCA]	ErrProb[Metastasis--EMT--CCA]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis]	Prob[EMT--Invasion--Apoptosis--CCA]	ErrProb[EMT--Invasion--Apoptosis--CCA]	Prob[Migration--EMT--Invasion--CCA]	ErrProb[Migration--EMT--Invasion--CCA]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[Migration--Metastasis--Invasion--Apoptosis--CCA]	ErrProb[Migration--Metastasis--Invasion--Apoptosis--CCA]	Prob[Invasion--CCA]	ErrProb[Invasion--CCA]	Prob[Metastasis--EMT]	ErrProb[Metastasis--EMT]	Prob[Metastasis--EMT--Apoptosis--CCA]	ErrProb[Metastasis--EMT--Apoptosis--CCA]	Prob[Migration--Metastasis--EMT]	ErrProb[Migration--Metastasis--EMT]	Prob[EMT--Invasion--Apoptosis]	ErrProb[EMT--Invasion--Apoptosis]	Prob[Invasion--Apoptosis--CCA]	ErrProb[Invasion--Apoptosis--CCA]	Prob[Migration--Invasion--Apoptosis]	ErrProb[Migration--Invasion--Apoptosis]	Prob[Migration--Invasion--Apoptosis--CCA]	ErrProb[Migration--Invasion--Apoptosis--CCA]	Prob[Metastasis--Invasion--CCA]	ErrProb[Metastasis--Invasion--CCA]	Prob[Invasion]	ErrProb[Invasion]	Prob[Migration]	ErrProb[Migration]	Prob[Migration--Metastasis--Apoptosis--CCA]	ErrProb[Migration--Metastasis--Apoptosis--CCA]	Prob[Metastasis--Invasion]	ErrProb[Metastasis--Invasion]	Prob[Apoptosis]	ErrProb[Apoptosis]	Prob[Metastasis--EMT--Invasion--CCA]	ErrProb[Metastasis--EMT--Invasion--CCA]	Prob[Migration--Metastasis--EMT--Invasion--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--CCA]	Prob[Migration--Metastasis--EMT--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Apoptosis]	Prob[EMT--Apoptosis--CCA]	ErrProb[EMT--Apoptosis--CCA]	Prob[Migration--EMT--Apoptosis--CCA]	ErrProb[Migration--EMT--Apoptosis--CCA]	Prob[Migration--Invasion--CCA]	ErrProb[Migration--Invasion--CCA]	Prob[Metastasis--CCA]	ErrProb[Metastasis--CCA]	Prob[Migration--Metastasis--CCA]	ErrProb[Migration--Metastasis--CCA]	Prob[Metastasis]	ErrProb[Metastasis]	Prob[CCA]	ErrProb[CCA]	Prob[Migration--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--EMT--Invasion--Apoptosis--CCA]	Prob[Migration--Invasion]	ErrProb[Migration--Invasion]	Prob[Migration--Metastasis--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--Invasion--Apoptosis]	Prob[Migration--EMT--Invasion--Apoptosis]	ErrProb[Migration--EMT--Invasion--Apoptosis]	Prob[Metastasis--Apoptosis--CCA]	ErrProb[Metastasis--Apoptosis--CCA]	Prob[Metastasis--EMT--Invasion--Apoptosis--CCA]	ErrProb[Metastasis--EMT--Invasion--Apoptosis--CCA]	Prob[Metastasis--EMT--Apoptosis]	ErrProb[Metastasis--EMT--Apoptosis]	Prob[Migration--Metastasis--EMT--Invasion]	ErrProb[Migration--Metastasis--EMT--Invasion]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[Migration--EMT--Invasion]	ErrProb[Migration--EMT--Invasion]	Prob[EMT--Invasion--CCA]	ErrProb[EMT--Invasion--CCA]	Prob[EMT]	ErrProb[EMT]	Prob[Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Metastasis--EMT--Invasion--Apoptosis]	Prob[EMT--Invasion]	ErrProb[EMT--Invasion]	
172.7000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
172.8000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
172.9000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.0000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.1000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.2000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.3000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.4000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.5000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.6000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.7000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.8000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173.9000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.0000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.1000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.2000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.3000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.4000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.5000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.6000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.7000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.8000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
174.9000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.0000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.1000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.2000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.3000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.4000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.5000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.6000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.7000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.8000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
175.9000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
176.0000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
176.1000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
176.2000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
176.3000	0.0000	0.0000	1.9138	0	0	0	0	0	0	0.139800	0.001551	0	0	0	0	0	0	0	0	0	0	0.272300	0.001991	0	0	0.213080	0.001831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.374820	0.002165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
